zcta,lat,lon
00602,18.360000,-67.180000
00901,18.460000,-66.100000
01002,42.370000,-72.520000
01101,42.100000,-72.590000
02108,42.357000,-71.064000
02139,42.364000,-71.104000
02601,41.650000,-70.290000
02903,41.820000,-71.410000
03101,42.990000,-71.460000
03301,43.210000,-71.540000
04101,43.660000,-70.260000
04401,44.800000,-68.770000
05401,44.480000,-73.210000
05602,44.260000,-72.580000
06103,41.770000,-72.670000
06510,41.310000,-72.920000
07102,40.736000,-74.173000
08401,39.360000,-74.430000
08608,40.220000,-74.760000
10001,40.750000,-73.997000
10458,40.860000,-73.890000
11201,40.690000,-73.990000
12207,42.650000,-73.750000
13202,43.040000,-76.150000
14202,42.890000,-78.880000
14604,43.160000,-77.610000
15222,40.450000,-79.990000
16501,42.130000,-80.090000
17101,40.260000,-76.880000
19103,39.950000,-75.170000
19801,39.740000,-75.550000
19901,39.160000,-75.520000
20001,38.910000,-77.020000
20170,38.970000,-77.380000
20850,39.090000,-77.180000
21201,39.290000,-76.620000
21401,38.980000,-76.490000
21801,38.370000,-75.600000
22314,38.810000,-77.050000
22901,38.030000,-78.480000
23219,37.540000,-77.440000
23451,36.850000,-75.980000
24011,37.270000,-79.940000
24201,36.600000,-82.190000
24501,37.410000,-79.140000
25301,38.350000,-81.630000
25701,38.420000,-82.440000
26501,39.630000,-79.950000
27101,36.100000,-80.240000
27209,35.350000,-79.770000
27330,35.480000,-79.180000
27401,36.070000,-79.790000
27502,35.723600,-78.866300
27511,35.763000,-78.778000
27513,35.801000,-78.804000
27519,35.811000,-78.882000
27526,35.582000,-78.801000
27540,35.620000,-78.875000
27560,35.859000,-78.823000
27601,35.773000,-78.634000
27701,35.999000,-78.899000
27858,35.600000,-77.370000
27936,35.244000,-75.604000
27954,35.908000,-75.676000
28027,35.400000,-80.610000
28202,35.227000,-80.843000
28273,35.126000,-80.943000
28401,34.240000,-77.950000
28560,35.100000,-77.040000
28601,35.730000,-81.340000
28801,35.595000,-82.556000
28906,35.080000,-84.030000
29201,34.000000,-81.034000
29334,34.890000,-82.110000
29401,32.780000,-79.930000
29501,34.190000,-79.770000
29566,33.875000,-78.630000
29577,33.690000,-78.890000
29601,34.850000,-82.400000
29708,35.046000,-80.995000
29715,35.010000,-80.930000
29730,34.887000,-81.020000
29902,32.430000,-80.670000
30303,33.750000,-84.390000
30901,33.470000,-81.970000
31401,32.080000,-81.090000
31701,31.580000,-84.160000
31901,32.470000,-84.990000
32202,30.330000,-81.660000
32301,30.440000,-84.280000
32501,30.420000,-87.220000
32801,28.540000,-81.380000
33101,25.780000,-80.200000
33602,27.950000,-82.460000
33901,26.640000,-81.870000
34102,26.140000,-81.790000
35203,33.520000,-86.810000
35801,34.730000,-86.590000
36104,32.380000,-86.310000
36602,30.690000,-88.040000
37040,36.530000,-87.360000
37203,36.150000,-86.790000
37402,35.050000,-85.310000
37902,35.960000,-83.920000
38103,35.150000,-90.050000
38801,34.260000,-88.700000
39201,32.300000,-90.180000
39501,30.370000,-89.090000
40202,38.250000,-85.760000
40507,38.050000,-84.500000
41011,39.080000,-84.510000
42101,36.990000,-86.440000
43215,39.967000,-83.011000
43604,41.650000,-83.540000
44113,41.480000,-81.700000
44308,41.080000,-81.520000
45202,39.100000,-84.510000
45402,39.760000,-84.190000
46204,39.770000,-86.160000
46802,41.080000,-85.140000
47708,37.970000,-87.570000
48226,42.330000,-83.050000
49503,42.970000,-85.670000
49855,46.550000,-87.400000
50309,41.590000,-93.620000
51101,42.500000,-96.400000
52401,41.980000,-91.670000
53202,43.040000,-87.900000
53703,43.080000,-89.380000
54701,44.810000,-91.500000
55401,44.980000,-93.270000
55802,46.780000,-92.100000
56560,46.870000,-96.760000
57104,43.550000,-96.730000
57701,44.080000,-103.230000
58102,46.880000,-96.790000
58501,46.810000,-100.780000
59101,45.780000,-108.500000
59601,46.590000,-112.040000
59801,46.870000,-113.990000
60601,41.886000,-87.622000
61602,40.690000,-89.590000
62701,39.800000,-89.650000
63101,38.630000,-90.190000
64106,39.100000,-94.580000
65802,37.210000,-93.290000
66603,39.050000,-95.680000
67202,37.690000,-97.340000
68102,41.260000,-95.930000
68508,40.810000,-96.700000
69101,41.130000,-100.770000
70112,29.960000,-90.080000
70801,30.450000,-91.190000
71101,32.510000,-93.750000
72201,34.750000,-92.270000
72701,36.060000,-94.160000
73102,35.470000,-97.520000
73301,30.270000,-97.740000
74103,36.150000,-95.990000
75201,32.790000,-96.800000
77002,29.760000,-95.360000
78205,29.420000,-98.490000
78701,30.270000,-97.740000
79401,33.580000,-101.850000
79901,31.760000,-106.490000
80202,39.750000,-105.000000
80903,38.830000,-104.820000
81501,39.070000,-108.570000
82001,41.140000,-104.820000
82601,42.850000,-106.320000
83201,42.860000,-112.440000
83702,43.620000,-116.200000
84101,40.760000,-111.890000
84770,37.100000,-113.580000
85004,33.450000,-112.070000
85701,32.220000,-110.970000
86001,35.200000,-111.650000
87102,35.080000,-106.650000
88001,32.310000,-106.780000
88501,31.760000,-106.450000
89101,36.170000,-115.140000
89501,39.530000,-119.810000
90012,34.060000,-118.240000
92101,32.720000,-117.160000
93721,36.730000,-119.780000
94102,37.780000,-122.420000
95814,38.580000,-121.490000
96001,40.590000,-122.390000
96720,19.720000,-155.080000
96813,21.310000,-157.860000
96910,13.470000,144.750000
97204,45.520000,-122.680000
97401,44.050000,-123.090000
97701,44.060000,-121.310000
98101,47.610000,-122.330000
98901,46.600000,-120.510000
99201,47.660000,-117.430000
99501,61.220000,-149.890000
99701,64.840000,-147.720000
99801,58.300000,-134.420000
